Localino;xL;yL;Reference;xR;yR
L01;-223;9;R01;-231.15;39.22
L02;-233;4;R02;-230.35;49.01
L03;-241;2;R03;-230.56;58.54
L04;-197;35;R04;-230.27;69.41
L05;-223;-15;R05;-230.72;78.93
L06;-218;-7;R06;-230.07;88.67
L07;-231;-23;R07;-230.6;98.57
L08;-250;-80;R08;-231.05;107.96
L09;-219;-81;R09;-220.97;108
L10;-213;-27;R10;-210.68;107.17
L11;-105;-12;R11;-200.98;107.68
L12;17;53;R12;-191.04;108.02
L13;-127;-59;R13;-181;107.89
L14;134;46;R14;-171.01;107.85
L15;229;63;R15;-161.4;107.51
L16;51;-14;R16;-151.69;107.67
L17;-79;0;R17;-150.7;97.8
L18;187;52;R18;-151.44;87.83
L19;83;28;R19;-151.58;78.12
L20;-60;7;R20;-151.68;68.92
L21;-118;-31;R21;-151.9;58.55
L22;-145;-75;R22;-150.88;49.31
L23;-132;-45;R23;-151.65;39.13
L24;-122;-31;R24;-160.49;38.45
L25;-168;-52;R25;-170.89;38.68
L26;-200;-58;R26;-181.13;38.28
L27;-162;-5;R27;-191.38;38.55
L28;-211;-74;R28;-201.21;38.8
L29;-224;-81;R29;-210.65;38.36
L30;-223;-80;R30;-221.47;38.48
L31;-130;6;R31;-191.58;77.92
