Localino;xL;yL;Reference;xR;yR
L01;-229;33;R01;-228.95;40.25
L02;-229;43;R02;-228.87;50.08
L03;-222;54;R03;-228.94;59.53
L04;-225;61;R04;-228.75;69.49
L05;-224;73;R05;-228.45;79.57
L06;-222;82;R06;-228.69;88.74
L07;-223;89;R07;-228.89;98.54
L08;-231;106;R08;-229.1;109.18
L09;-223;106;R09;-219.35;109.28
L10;-213;102;R10;-209.7;109.45
L11;-199;99;R11;-199.57;109.25
L12;-189;94;R12;-189.38;109.27
L13;-179;93;R13;-179.14;109.14
L14;-175;95;R14;-169.26;109.38
L15;-160;96;R15;-159.26;109.7
L16;-150;91;R16;-149.54;109.93
L17;-147;80;R17;-149.49;100.4
L18;-149;75;R18;-149.31;90.46
L19;-149;62;R19;-151.15;80.56
L20;-151;55;R20;-150.23;70.22
L21;-150;32;R21;-149.28;60.32
L22;-145;28;R22;-149.04;50.46
L23;-144;22;R23;-149.6;40.52
L24;-155;24;R24;-159.39;40.11
L25;-169;27;R25;-169.1;39.96
L26;-175;20;R26;-178.57;39.74
L27;-186;21;R27;-188.66;39.65
L28;-200;24;R28;-198.9;39.44
L29;-208;24;R29;-208.69;39.98
L30;-218;28;R30;-218.3;39.72
L31;-200;54;R31;-189.95;79.29
